Water-Cement Ratio,Compressive Strength (N/mm²)
0.2873333333,57.23905724
0.2882222222,57.23905724
0.2882222222,56.83501684
0.2882222222,56.96969697
0.2882222222,56.7003367
0.2882222222,57.1043771
0.2882222222,57.37373737
0.2891111111,56.7003367
0.2891111111,57.1043771
0.2891111111,56.96969697
0.2891111111,57.23905724
0.2891111111,56.83501684
0.2891111111,56.56565657
0.29,56.7003367
0.29,56.43097643
0.29,56.96969697
0.29,56.83501684
0.29,57.1043771
0.29,56.56565657
0.2908888889,56.16161616
0.2908888889,56.43097643
0.2908888889,56.2962963
0.2908888889,56.56565657
0.2908888889,56.7003367
0.2908888889,56.83501684
0.2917777778,56.56565657
0.2917777778,56.16161616
0.2917777778,61.41414141
0.2917777778,56.2962963
0.2917777778,56.43097643
0.2917777778,56.7003367
0.2917777778,56.02693603
0.2926666667,55.75757576
0.2926666667,56.02693603
0.2926666667,56.2962963
0.2926666667,55.89225589
0.2926666667,56.56565657
0.2926666667,56.16161616
0.2926666667,56.43097643
0.2935555556,55.89225589
0.2935555556,56.02693603
0.2935555556,56.16161616
0.2935555556,55.75757576
0.2935555556,56.2962963
0.2935555556,56.43097643
0.2944444444,56.16161616
0.2944444444,56.02693603
0.2944444444,56.2962963
0.2944444444,55.89225589
0.2944444444,55.62289562
0.2944444444,55.75757576
0.2953333333,55.62289562
0.2953333333,55.35353535
0.2953333333,55.48821549
0.2953333333,55.75757576
0.2953333333,55.89225589
0.2953333333,56.02693603
0.2953333333,56.16161616
0.2962222222,55.75757576
0.2962222222,55.89225589
0.2962222222,55.62289562
0.2962222222,55.21885522
0.2962222222,55.48821549
0.2962222222,55.35353535
0.2971111111,55.08417508
0.2971111111,55.21885522
0.2971111111,55.35353535
0.2971111111,55.75757576
0.2971111111,55.48821549
0.2971111111,55.62289562
0.298,55.21885522
0.298,54.94949495
0.298,55.35353535
0.298,55.62289562
0.298,55.48821549
0.298,55.08417508
0.298,55.75757576
0.2988888889,54.81481481
0.2988888889,55.08417508
0.2988888889,55.48821549
0.2988888889,55.21885522
0.2988888889,55.35353535
0.2988888889,54.94949495
0.2997777778,54.68013468
0.2997777778,54.54545455
0.2997777778,54.81481481
0.2997777778,54.94949495
0.2997777778,55.08417508
0.2997777778,55.21885522
0.2997777778,55.35353535
0.3006666667,54.94949495
0.3006666667,54.54545455
0.3006666667,55.08417508
0.3006666667,54.68013468
0.3006666667,54.81481481
0.3006666667,54.41077441
0.3015555556,54.81481481
0.3015555556,54.68013468
0.3015555556,54.27609428
0.3015555556,54.41077441
0.3015555556,54.94949495
0.3015555556,54.54545455
0.3024444444,54.41077441
0.3024444444,54.27609428
0.3024444444,54.54545455
0.3024444444,54.14141414
0.3024444444,54.68013468
0.3024444444,54.81481481
0.3033333333,54.54545455
0.3033333333,54.68013468
0.3033333333,54.41077441
0.3033333333,53.87205387
0.3033333333,54.27609428
0.3033333333,54.00673401
0.3033333333,54.14141414
0.3042222222,54.00673401
0.3042222222,54.14141414
0.3042222222,53.87205387
0.3042222222,54.54545455
0.3042222222,54.27609428
0.3042222222,54.41077441
0.3051111111,54.14141414
0.3051111111,54.41077441
0.3051111111,54.00673401
0.3051111111,53.6026936
0.3051111111,54.27609428
0.3051111111,53.87205387
0.3051111111,53.73737374
0.306,53.6026936
0.306,53.73737374
0.306,53.46801347
0.306,53.87205387
0.306,54.00673401
0.306,54.14141414
0.3068888889,53.33333333
0.3068888889,54.00673401
0.3068888889,53.73737374
0.3068888889,53.46801347
0.3068888889,53.6026936
0.3068888889,53.87205387
0.3077777778,53.33333333
0.3077777778,53.46801347
0.3077777778,53.1986532
0.3077777778,53.6026936
0.3077777778,53.73737374
0.3077777778,53.87205387
0.3086666667,53.1986532
0.3086666667,53.46801347
0.3086666667,53.06397306
0.3086666667,53.87205387
0.3086666667,53.33333333
0.3086666667,53.6026936
0.3086666667,53.73737374
0.3095555556,52.92929293
0.3095555556,53.06397306
0.3095555556,53.1986532
0.3095555556,53.46801347
0.3095555556,53.33333333
0.3095555556,53.6026936
0.3104444444,53.33333333
0.3104444444,53.1986532
0.3104444444,52.79461279
0.3104444444,53.46801347
0.3104444444,53.06397306
0.3104444444,52.92929293
0.3113333333,52.79461279
0.3113333333,52.92929293
0.3113333333,52.65993266
0.3113333333,53.06397306
0.3113333333,53.1986532
0.3113333333,53.33333333
0.3122222222,53.06397306
0.3122222222,52.65993266
0.3122222222,52.92929293
0.3122222222,52.52525253
0.3122222222,53.1986532
0.3122222222,52.79461279
0.3131111111,52.65993266
0.3131111111,52.39057239
0.3131111111,52.52525253
0.3131111111,52.79461279
0.3131111111,53.06397306
0.3131111111,52.92929293
0.314,52.25589226
0.314,52.52525253
0.314,52.39057239
0.314,52.65993266
0.314,52.79461279
0.3148888889,52.52525253
0.3148888889,52.65993266
0.3148888889,52.12121212
0.3148888889,52.39057239
0.3148888889,52.25589226
0.3157777778,52.52525253
0.3157777778,52.39057239
0.3157777778,52.25589226
0.3157777778,51.98653199
0.3157777778,52.12121212
0.3166666667,51.85185185
0.3166666667,51.98653199
0.3166666667,52.12121212
0.3166666667,52.39057239
0.3166666667,52.25589226
0.3175555556,51.71717172
0.3175555556,51.85185185
0.3175555556,52.12121212
0.3175555556,52.25589226
0.3175555556,51.98653199
0.3184444444,51.98653199
0.3184444444,51.85185185
0.3184444444,52.12121212
0.3184444444,51.71717172
0.3184444444,51.58249158
0.3193333333,51.98653199
0.3193333333,51.44781145
0.3193333333,51.58249158
0.3193333333,51.85185185
0.3193333333,51.71717172
0.3202222222,51.44781145
0.3202222222,51.31313131
0.3202222222,51.58249158
0.3202222222,51.85185185
0.3202222222,51.71717172
0.3211111111,51.04377104
0.3211111111,51.71717172
0.3211111111,51.31313131
0.3211111111,51.44781145
0.3211111111,51.17845118
0.3211111111,51.58249158
0.322,51.44781145
0.322,50.90909091
0.322,51.31313131
0.322,51.04377104
0.322,51.58249158
0.322,51.17845118
0.3228888889,50.90909091
0.3228888889,51.04377104
0.3228888889,50.77441077
0.3228888889,51.31313131
0.3228888889,51.44781145
0.3228888889,51.17845118
0.3237777778,51.31313131
0.3237777778,50.63973064
0.3237777778,51.04377104
0.3237777778,50.77441077
0.3237777778,50.90909091
0.3237777778,51.17845118
0.3246666667,50.63973064
0.3246666667,50.77441077
0.3246666667,50.50505051
0.3246666667,51.04377104
0.3246666667,50.90909091
0.3246666667,51.17845118
0.3255555556,50.90909091
0.3255555556,51.04377104
0.3255555556,50.77441077
0.3255555556,50.37037037
0.3255555556,50.50505051
